Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow
ACM,-186370000.0,173185000.0,310611000.0,55332000.0,359555000.0,137426000.0,-255279000.0
ACMR,18780000.0,37757000.0,39263000.0,77349000.0,18977000.0,1506000.0,38086000.0
ACN,5107839000.0,5906809000.0,6877169000.0,6871557000.0,798970000.0,970360000.0,-5612000.0
ACNB,18394000.0,27834000.0,35752000.0,31688000.0,9440000.0,7918000.0,-4064000.0
ACOR,-99594000.0,-103954000.0,-65916000.0,-252854000.0,-4360000.0,38038000.0,-186938000.0
ACRE,21840000.0,60460000.0,29785000.0,-38867000.0,38620000.0,-30675000.0,-68652000.0
ACRS,-51015000.0,-90865000.0,-86908000.0,-88481000.0,-39850000.0,3957000.0,-1573000.0
ACTG,109231000.0,149197000.0,-125065000.0,67060000.0,39966000.0,-274262000.0,192125000.0
ACU,8098766.0,13655679.0,3034766.0,17793160.0,5556913.0,-10620913.0,14758394.0
ADBE,5260000000.0,4822000000.0,4756000000.0,5428000000.0,-438000000.0,-66000000.0,672000000.0
ADC,91381000.0,122273000.0,152437000.0,169959000.0,30892000.0,30164000.0,17522000.0
ADI,1220761000.0,1390422000.0,2748561000.0,3314579000.0,169661000.0,1358139000.0,566018000.0
ADM,1772000000.0,2709000000.0,4340000000.0,3483000000.0,937000000.0,1631000000.0,-857000000.0
ADMA,-75748548.0,-71648000.0,-65904000.0,-28239000.0,4100548.0,5744000.0,37665000.0
ADNT,-547000000.0,1108000000.0,-120000000.0,205000000.0,1655000000.0,-1228000000.0,325000000.0
ADP,2466500000.0,2598500000.0,2948900000.0,3412000000.0,132000000.0,350400000.0,463100000.0
ADSK,,1208000000.0,497000000.0,823000000.0,,-711000000.0,326000000.0
ADT,-632193000.0,-340820000.0,132663000.0,463009000.0,291373000.0,473483000.0,330346000.0
ADTN,2378000.0,-8635000.0,-2037000.0,-267688000.0,-11013000.0,6598000.0,-265651000.0
ADUS,33133000.0,45126000.0,46025000.0,62516000.0,11993000.0,899000.0,16491000.0
ADVM,-117507000.0,-145540000.0,-154536000.0,-117165000.0,-28033000.0,-8996000.0,37371000.0
ADXS,-30146000.0,-40254000.0,-38013000.0,-48072000.0,-10108000.0,2241000.0,-10059000.0
AE,995000.0,11888000.0,3487000.0,212000.0,10893000.0,-8401000.0,-3275000.0
AEE,871000000.0,990000000.0,1074000000.0,1152000000.0,119000000.0,84000000.0,78000000.0
AEHR,-2802000.0,-2027000.0,9450000.0,14557000.0,775000.0,11477000.0,5107000.0
AEIS,134675000.0,134736000.0,199660000.0,128284000.0,61000.0,64924000.0,-71376000.0
AEL,671460000.0,553023000.0,1920219000.0,210530000.0,-118437000.0,1367196000.0,-1709689000.0
AEMD,,-7886709.0,-10416091.0,-12029786.0,,-2529382.0,-1613695.0
AEO,,-209274000.0,419629000.0,125136000.0,,628903000.0,-294493000.0
AEP,2200100000.0,2488100000.0,2307200000.0,2208100000.0,288000000.0,-180900000.0,-99100000.0
AES,46000000.0,-409000000.0,-546000000.0,249000000.0,-455000000.0,-137000000.0,795000000.0
AFG,732000000.0,1995000000.0,898000000.0,852000000.0,1263000000.0,-1097000000.0,-46000000.0
AFL,4778000000.0,4231000000.0,4418000000.0,4659000000.0,-547000000.0,187000000.0,241000000.0
AGCO,427100000.0,897000000.0,889600000.0,1171400000.0,469900000.0,-7400000.0,281800000.0
AGE,-10865000.0,-8675000.0,-10462000.0,-14803000.0,2190000.0,-1787000.0,-4341000.0
AGEN,-180914000.0,-23926000.0,-220074000.0,-245761000.0,156988000.0,-196148000.0,-25687000.0
AGIO,-327370000.0,1604715000.0,-231801000.0,-352088000.0,1932085000.0,-1836516000.0,-120287000.0
AGM,108648000.0,136089000.0,178144000.0,200003000.0,27441000.0,42055000.0,21859000.0
AGNC,-266000000.0,749000000.0,-1190000000.0,155000000.0,1015000000.0,-1939000000.0,1345000000.0
AGO,362000000.0,389000000.0,124000000.0,739000000.0,27000000.0,-265000000.0,615000000.0
AGR,581000000.0,707000000.0,881000000.0,786000000.0,126000000.0,174000000.0,-95000000.0
AGRX,-51853000.0,-71067000.0,-25412000.0,-14465000.0,-19214000.0,45655000.0,10947000.0
AGS,-85378000.0,-22572000.0,-8035000.0,428000.0,62806000.0,14537000.0,8463000.0
AGX,,23851000.0,38244000.0,33098000.0,,14393000.0,-5146000.0
AGYS,,-21001000.0,6478000.0,14582000.0,,27479000.0,8104000.0
AHH,29152000.0,21892000.0,74747000.0,8287000.0,-7260000.0,52855000.0,-66460000.0
AHT,-543876000.0,-267005000.0,-139825000.0,-178489000.0,276871000.0,127180000.0,-38664000.0
AIG,-5944000000.0,10367000000.0,10227000000.0,3643000000.0,16311000000.0,-140000000.0,-6584000000.0
AIN,98589000.0,118478000.0,95762000.0,111120000.0,19889000.0,-22716000.0,15358000.0
AINC,-212365000.0,-9925000.0,3646000.0,-4628000.0,202440000.0,13571000.0,-8274000.0
AIR,4400000.0,35800000.0,78700000.0,90200000.0,31400000.0,42900000.0,11500000.0
AIRG,-3279000.0,-10087000.0,-8659000.0,-12428000.0,-6808000.0,1428000.0,-3769000.0
AIRI,1096000.0,1627000.0,-1076000.0,-2131000.0,531000.0,-2703000.0,-1055000.0
AIRT,,-7277000.0,10928000.0,-12295000.0,,18205000.0,-23223000.0
AIT,24042000.0,144757000.0,257414000.0,346739000.0,120715000.0,112657000.0,89325000.0
AIV,-5041000.0,-5910000.0,75726000.0,-166196000.0,-869000.0,81636000.0,-241922000.0
AIZ,440800000.0,1361800000.0,276600000.0,642500000.0,921000000.0,-1085200000.0,365900000.0
AJG,818800000.0,906800000.0,1114200000.0,969500000.0,88000000.0,207400000.0,-144700000.0
AJX,28496000.0,41855000.0,-15011000.0,-47071000.0,13359000.0,-56866000.0,-32060000.0
AKAM,557054000.0,651642000.0,523672000.0,547629000.0,94588000.0,-127970000.0,23957000.0
AKBA,-384841000.0,-282024000.0,-94226000.0,-51925000.0,102817000.0,187798000.0,42301000.0
AKR,-8976000.0,23548000.0,-35445000.0,19873000.0,32524000.0,-58993000.0,55318000.0
AKTS,-36140000.0,-44156000.0,-59027000.0,-63557000.0,-8016000.0,-14871000.0,-4530000.0
AL,516264000.0,436632000.0,-97024000.0,614622000.0,-79632000.0,-533656000.0,711646000.0
ALB,375764000.0,123672000.0,2689816000.0,1573476000.0,-252092000.0,2566144000.0,-1116340000.0
ALCO,23662000.0,34859000.0,12459000.0,1835000.0,11197000.0,-22400000.0,-10624000.0
ALDX,-37553729.0,-57776274.0,-62024636.0,-37542510.0,-20222545.0,-4248362.0,24482126.0
ALE,174200000.0,169200000.0,189300000.0,247100000.0,-5000000.0,20100000.0,57800000.0
ALEC,-190228000.0,-36329000.0,-133310000.0,-130391000.0,153899000.0,-96981000.0,2919000.0
ALEX,5600000.0,35400000.0,-50600000.0,29800000.0,29800000.0,-86000000.0,80400000.0
ALG,57804000.0,80245000.0,101928000.0,136161000.0,22441000.0,21683000.0,34233000.0
ALGN,1775888000.0,772020000.0,361573000.0,445053000.0,-1003868000.0,-410447000.0,83480000.0
ALGT,-184093000.0,151853000.0,2493000.0,117596000.0,335946000.0,-149360000.0,115103000.0
ALIM,-5339000.0,-4372000.0,-18107000.0,-20132000.0,967000.0,-13735000.0,-2025000.0
ALK,-1324000000.0,478000000.0,58000000.0,,1802000000.0,-420000000.0,
ALKS,-110861000.0,-48169000.0,-158267000.0,355757000.0,62692000.0,-110098000.0,514024000.0
ALL,5576000000.0,1614000000.0,-1289000000.0,-188000000.0,-3962000000.0,-2903000000.0,1101000000.0
ALLE,314300000.0,483000000.0,458000000.0,540400000.0,168700000.0,-25000000.0,82400000.0
ALLK,-153480000.0,-269860000.0,-319952000.0,-185701000.0,-116380000.0,-50092000.0,134251000.0
ALLO,-316381000.0,-182051000.0,-340414000.0,-327265000.0,134330000.0,-158363000.0,13149000.0
ALLY,1085000000.0,3060000000.0,1714000000.0,1020000000.0,1975000000.0,-1346000000.0,-694000000.0
ALNY,-858281000.0,-852824000.0,-1131156000.0,-440242000.0,5457000.0,-278332000.0,690914000.0
ALOT,,1284000.0,6429000.0,2661000.0,,5145000.0,-3768000.0
ALPN,-27940000.0,-50333000.0,-57762000.0,-32184000.0,-22393000.0,-7429000.0,25578000.0
ALRM,77853000.0,52259000.0,56338000.0,81043000.0,-25594000.0,4079000.0,24705000.0
ALSN,299000000.0,442000000.0,531000000.0,0.0,143000000.0,89000000.0,-531000000.0
ALT,-49044477.0,-97090000.0,-84713000.0,-88447000.0,-48045523.0,12377000.0,-3734000.0
ALTM,-16300000.0,600000.0,273500000.0,,16900000.0,272900000.0,
ALTR,-10500000.0,-8794000.0,-43429000.0,-8926000.0,1706000.0,-34635000.0,34503000.0
ALV,187000000.0,435000000.0,423000000.0,488000000.0,248000000.0,-12000000.0,65000000.0
ALX,41939000.0,132930000.0,57632000.0,102413000.0,90991000.0,-75298000.0,44781000.0
AM,-122527000.0,331617000.0,326242000.0,0.0,454144000.0,-5375000.0,-326242000.0
AMAL,46188000.0,52937000.0,81477000.0,87978000.0,6749000.0,28540000.0,6501000.0
AMAT,3619000000.0,5888000000.0,6525000000.0,6856000000.0,2269000000.0,637000000.0,331000000.0
AMBC,-437000000.0,-17000000.0,521000000.0,4000000.0,420000000.0,538000000.0,-517000000.0
AMC,-4589100000.0,-1269100000.0,-973600000.0,-396600000.0,3320000000.0,295500000.0,577000000.0
AMCX,239979000.0,250596000.0,7594000.0,215464000.0,10617000.0,-243002000.0,207870000.0
AMD,2490000000.0,3162000000.0,1320000000.0,854000000.0,672000000.0,-1842000000.0,-466000000.0
AME,872439000.0,990053000.0,1159542000.0,1313188000.0,117614000.0,169489000.0,153646000.0
AMED,183608000.0,209072000.0,118609000.0,-9747000.0,25464000.0,-90463000.0,-128356000.0
AMG,202200000.0,565700000.0,1145900000.0,672900000.0,363500000.0,580200000.0,-473000000.0
AMGN,7264000000.0,5893000000.0,6552000000.0,6717000000.0,-1371000000.0,659000000.0,165000000.0
AMH,140374000.0,189092000.0,273138000.0,380168000.0,48718000.0,84046000.0,107030000.0
AMKR,338138000.0,642995000.0,765823000.0,359813000.0,304857000.0,122828000.0,-406010000.0
AMN,70665000.0,327388000.0,444050000.0,210679000.0,256723000.0,116662000.0,-233371000.0
AMNB,30045000.0,43526000.0,34428000.0,26159000.0,13481000.0,-9098000.0,-8269000.0
AMP,1534000000.0,3417000000.0,3149000000.0,2556000000.0,1883000000.0,-268000000.0,-593000000.0
AMPE,-15894000.0,-17075000.0,-16337000.0,-8632000.0,-1181000.0,738000.0,7705000.0
AMPH,1403000.0,62116000.0,91386000.0,137545000.0,60713000.0,29270000.0,46159000.0
AMRC,54052000.0,70458000.0,94926000.0,62470000.0,16406000.0,24468000.0,-32456000.0
AMRK,30509000.0,159637000.0,132536000.0,156360000.0,129128000.0,-27101000.0,23824000.0
AMRX,91059000.0,10624000.0,-129986000.0,-83993000.0,-80435000.0,-140610000.0,45993000.0
AMS,-7058000.0,194000.0,1328000.0,610000.0,7252000.0,1134000.0,-718000.0
AMSC,,-22678000.0,-19193000.0,-35041000.0,,3485000.0,-15848000.0
AMSF,86602000.0,65756000.0,55602000.0,62108000.0,-20846000.0,-10154000.0,6506000.0
AMSWA,,8089000.0,12782000.0,10421000.0,,4693000.0,-2361000.0
AMT,1690600000.0,2567700000.0,1765800000.0,1483300000.0,877100000.0,-801900000.0,-282500000.0
AMTD,146918158.23589,156730639.030733,157801070.710949,,9812480.794842988,1070431.6802160144,
AMTX,-36659000.0,-47147000.0,-107758000.0,-46420000.0,-10488000.0,-60611000.0,61338000.0
AMWD,,61193000.0,-29722000.0,93723000.0,,-90915000.0,123445000.0
AMZN,21331000000.0,33364000000.0,-2722000000.0,30425000000.0,12033000000.0,-36086000000.0,33147000000.0
AN,381600000.0,1373000000.0,1377400000.0,1021100000.0,991400000.0,4400000.0,-356300000.0
ANAB,-19931000.0,-57796000.0,-128724000.0,-163619000.0,-37865000.0,-70928000.0,-34895000.0
ANDE,7710000.0,103986000.0,131080000.0,101190000.0,96276000.0,27094000.0,-29890000.0
ANET,634557000.0,840854000.0,1352446000.0,2087321000.0,206297000.0,511592000.0,734875000.0
ANF,,-114021000.0,263010000.0,2816000.0,,377031000.0,-260194000.0
ANGI,-6283000.0,-71378000.0,-128450000.0,-40940000.0,-65095000.0,-57072000.0,87510000.0
ANGO,-166787000.0,-31548000.0,-26547000.0,-52442000.0,135239000.0,5001000.0,-25895000.0
ANIK,-23982000.0,4134000.0,-14859000.0,-82667000.0,28116000.0,-18993000.0,-67808000.0
ANIP,-22548000.0,-42603000.0,-47896000.0,18779000.0,-20055000.0,-5293000.0,66675000.0
ANIX,-10018355.0,-12954000.0,-13595000.0,-9811000.0,-2935645.0,-641000.0,3784000.0
ANSS,433887000.0,454627000.0,523710000.0,500412000.0,20740000.0,69083000.0,-23298000.0
AON,1969000000.0,1255000000.0,2589000000.0,2564000000.0,-714000000.0,1334000000.0,-25000000.0
AOS,344900000.0,487100000.0,235700000.0,556600000.0,142200000.0,-251400000.0,320900000.0
AOSL,-6596000.0,58116000.0,453163000.0,12364000.0,64712000.0,395047000.0,-440799000.0
AP,7970000.0,-3861000.0,3416000.0,-39928000.0,-11831000.0,7277000.0,-43344000.0
APA,-4784000000.0,1135000000.0,3604000000.0,2855000000.0,5919000000.0,2469000000.0,-749000000.0
APAM,212617000.0,336516000.0,206755000.0,222289000.0,123899000.0,-129761000.0,15534000.0
APD,1886700000.0,2099100000.0,2256100000.0,2300200000.0,212400000.0,157000000.0,44100000.0
APDN,-13027219.0,-14286442.0,-8267891.0,-9947059.0,-1259223.0,6018551.0,-1679168.0
APEI,18822000.0,17752000.0,-114993000.0,-47286000.0,-1070000.0,-132745000.0,67707000.0
APH,1203400000.0,1590800000.0,1902300000.0,1928000000.0,387400000.0,311500000.0,25700000.0
APLE,-173207000.0,18828000.0,144805000.0,177489000.0,192035000.0,125977000.0,32684000.0
APLS,-344874000.0,-746354000.0,-652172000.0,-528628000.0,-401480000.0,94182000.0,123544000.0
APOG,,15436000.0,3486000.0,104107000.0,,-11950000.0,100621000.0
APPF,158403000.0,1028000.0,-68119000.0,2702000.0,-157375000.0,-69147000.0,70821000.0
APPN,-33477000.0,-88641000.0,-150920000.0,-111441000.0,-55164000.0,-62279000.0,39479000.0
APPS,,54884000.0,35546000.0,16673000.0,,-19338000.0,-18873000.0
APT,26888000.0,6756000.0,3282000.0,4189000.0,-20132000.0,-3474000.0,907000.0
APTV,1804000000.0,590000000.0,594000000.0,2938000000.0,-1214000000.0,4000000.0,2344000000.0
APVO,-17750000.0,-28457000.0,8027000.0,-17411000.0,-10707000.0,36484000.0,-25438000.0
APYX,-11896000.0,-15172000.0,-23184000.0,-18713000.0,-3276000.0,-8012000.0,4471000.0
AQB,-16399985.0,-22322588.0,-22157195.0,,-5922603.0,165393.0,
AQMS,-25762000.0,-18193000.0,-15431000.0,-23938000.0,7569000.0,2762000.0,-8507000.0
AR,-1267897000.0,-186899000.0,1898771000.0,242919000.0,1080998000.0,2085670000.0,-1655852000.0
ARAY,3827000.0,-6311000.0,-5347000.0,-9280000.0,-10138000.0,964000.0,-3933000.0
ARC,6188000.0,9143000.0,11094000.0,8235000.0,2955000.0,1951000.0,-2859000.0
ARCB,71100000.0,213521000.0,298209000.0,195433000.0,142421000.0,84688000.0,-102776000.0
ARCH,-344615000.0,337573000.0,1330914000.0,464038000.0,682188000.0,993341000.0,-866876000.0
ARDX,-94313000.0,-158165000.0,-67207000.0,-66067000.0,-63852000.0,90958000.0,1140000.0
ARE,770959000.0,571247000.0,521660000.0,103639000.0,-199712000.0,-49587000.0,-418021000.0
ARES,152142000.0,408837000.0,167541000.0,474326000.0,256695000.0,-241296000.0,306785000.0
ARI,18377000.0,223515000.0,265232000.0,58127000.0,205138000.0,41717000.0,-207105000.0
ARKR,-4688000.0,12895000.0,9281000.0,-5928000.0,17583000.0,-3614000.0,-15209000.0
ARL,9030000.0,3347000.0,373349000.0,3968000.0,-5683000.0,370002000.0,-369381000.0
ARLO,-101251000.0,-56029000.0,-56626000.0,-22036000.0,45222000.0,-597000.0,34590000.0
ARMK,-461529000.0,-90833000.0,194484000.0,674108000.0,370696000.0,285317000.0,479624000.0
AROC,-68445000.0,28217000.0,44296000.0,104998000.0,96662000.0,16079000.0,60702000.0
AROW,40827000.0,49857000.0,48799000.0,30075000.0,9030000.0,-1058000.0,-18724000.0
ARR,-215112000.0,15363000.0,-229930000.0,-67923000.0,230475000.0,-245293000.0,162007000.0
ARTNA,16817000.0,16827000.0,17998000.0,16699000.0,10000.0,1171000.0,-1299000.0
ARTW,-2103486.0,212631.0,97797.0,266969.0,2316117.0,-114834.0,169172.0
ARVN,-119300000.0,-191000000.0,-282500000.0,-367300000.0,-71700000.0,-91500000.0,-84800000.0
ARW,584438000.0,1108197000.0,1426884000.0,903505000.0,523759000.0,318687000.0,-523379000.0
ARWR,-84553000.0,-140848000.0,-176063000.0,-205275000.0,-56295000.0,-35215000.0,-29212000.0
ASB,306771000.0,350994000.0,366122000.0,182956000.0,44223000.0,15128000.0,-183166000.0
ASGN,200300000.0,409900000.0,268100000.0,219300000.0,209600000.0,-141800000.0,-48800000.0
ASH,-508000000.0,220000000.0,927000000.0,178000000.0,728000000.0,707000000.0,-749000000.0
ASIX,46077000.0,139791000.0,171886000.0,54623000.0,93714000.0,32095000.0,-117263000.0
ASMB,-62152000.0,-129855000.0,-93092000.0,-61228000.0,-67703000.0,36763000.0,31864000.0
ASPN,-21809000.0,-37094000.0,-82738000.0,-45811000.0,-15285000.0,-45644000.0,36927000.0
ASPS,-67156000.0,11812000.0,-53418000.0,-56290000.0,78968000.0,-65230000.0,-2872000.0
ASRT,-28144000.0,-1281000.0,109625000.0,-331942000.0,26863000.0,110906000.0,-441567000.0
ASRV,4598000.0,7072000.0,7448000.0,-3346000.0,2474000.0,376000.0,-10794000.0
ASTC,-8311000.0,-7603000.0,-8330000.0,-9642000.0,708000.0,-727000.0,-1312000.0
ASTE,46000000.0,15800000.0,-100000.0,33500000.0,-30200000.0,-15900000.0,33600000.0
ASUR,-16311000.0,3193000.0,-14466000.0,-9214000.0,19504000.0,-17659000.0,5252000.0
ASYS,-15723000.0,1508000.0,17367000.0,-12582000.0,17231000.0,15859000.0,-29949000.0
ATEC,-78994000.0,-143032000.0,-151293000.0,-186638000.0,-64038000.0,-8261000.0,-35345000.0
ATEN,17816000.0,94887000.0,46908000.0,39970000.0,77071000.0,-47979000.0,-6938000.0
ATGE,-85334000.0,70027000.0,310991000.0,93358000.0,155361000.0,240964000.0,-217633000.0
ATI,-1572600000.0,184600000.0,323500000.0,410800000.0,1757200000.0,138900000.0,87300000.0
ATKR,152302000.0,587857000.0,913434000.0,689899000.0,435555000.0,325577000.0,-223535000.0
ATLC,94120000.0,177902000.0,135597000.0,102845000.0,83782000.0,-42305000.0,-32752000.0
ATLO,18850000.0,23913000.0,19293000.0,10817000.0,5063000.0,-4620000.0,-8476000.0
ATNI,-14122000.0,-22108000.0,-5645000.0,-14538000.0,-7986000.0,16463000.0,-8893000.0
ATNM,-22215000.0,-24774000.0,-33017000.0,-48818000.0,-2559000.0,-8243000.0,-15801000.0
ATO,601443000.0,665563000.0,774398000.0,885862000.0,64120000.0,108835000.0,111464000.0
ATOS,-17828000.0,-20606000.0,-26960000.0,,-2778000.0,-6354000.0,
ATR,214040000.0,244097000.0,239288000.0,284487000.0,30057000.0,-4809000.0,45199000.0
ATRA,-306620000.0,-340141000.0,-228302000.0,-276126000.0,-33521000.0,111839000.0,-47824000.0
ATRC,-48155000.0,50199000.0,-46466000.0,-30438000.0,98354000.0,-96665000.0,16028000.0
ATRI,32115000.0,33055000.0,35008000.0,19411000.0,940000.0,1953000.0,-15597000.0
ATRO,-115781000.0,-25578000.0,-35747000.0,-26421000.0,90203000.0,-10169000.0,9326000.0
ATSG,32115000.0,231420000.0,198581000.0,60327000.0,199305000.0,-32839000.0,-138254000.0
ATUS,436183000.0,990311000.0,194563000.0,53198000.0,554128000.0,-795748000.0,-141365000.0
AUBN,7454000.0,8039000.0,10346000.0,1395000.0,585000.0,2307000.0,-8951000.0
AUMN,-9086000.0,-2095000.0,-9906000.0,-9228000.0,6991000.0,-7811000.0,678000.0
AVA,129488000.0,147334000.0,155176000.0,171180000.0,17846000.0,7842000.0,16004000.0
AVAV,,23331000.0,-4188000.0,-176212000.0,,-27519000.0,-172024000.0
AVB,827630000.0,1004299000.0,1136775000.0,928825000.0,176669000.0,132476000.0,-207950000.0
AVD,15242000.0,18587000.0,27404000.0,7519000.0,3345000.0,8817000.0,-19885000.0
AVGO,2960000000.0,6736000000.0,11495000000.0,14082000000.0,3776000000.0,4759000000.0,2587000000.0
AVGR,-19006000.0,-17412000.0,-17623000.0,-18320000.0,1594000.0,-211000.0,-697000.0
AVNS,-27200000.0,6300000.0,50500000.0,-61800000.0,33500000.0,44200000.0,-112300000.0
AVNW,257000.0,110139000.0,21160000.0,11528000.0,109882000.0,-88979000.0,-9632000.0
AVRO,-119712000.0,-119126000.0,-105890000.0,12157000.0,586000.0,13236000.0,118047000.0
AVT,-31081000.0,193114000.0,692379000.0,770828000.0,224195000.0,499265000.0,78449000.0
AVTR,116600000.0,572600000.0,686500000.0,321100000.0,456000000.0,113900000.0,-365400000.0
AVXL,-26280470.0,-37909000.0,-47978000.0,-47505000.0,-11628530.0,-10069000.0,473000.0
AVY,555900000.0,740100000.0,757100000.0,503000000.0,184200000.0,17000000.0,-254100000.0
AWI,-99100000.0,183200000.0,202900000.0,223800000.0,282300000.0,19700000.0,20900000.0
AWK,709000000.0,1263000000.0,820000000.0,944000000.0,554000000.0,-443000000.0,124000000.0
AWR,86425000.0,94347000.0,78396000.0,124921000.0,7922000.0,-15951000.0,46525000.0
AWRE,-7614000.0,-5824000.0,-1726000.0,-7314000.0,1790000.0,4098000.0,-5588000.0
AX,183438000.0,215707000.0,240716000.0,307165000.0,32269000.0,25009000.0,66449000.0
AXDX,-78208000.0,-77702000.0,-62493000.0,-61618000.0,506000.0,15209000.0,875000.0
AXGN,-23786000.0,-26985000.0,-28948000.0,-21716000.0,-3199000.0,-1963000.0,7232000.0
AXL,-561300000.0,5900000.0,64300000.0,-33600000.0,567200000.0,58400000.0,-97900000.0
AXNX,-54915000.0,-80067000.0,-59698000.0,-6088000.0,-25152000.0,20369000.0,53610000.0
AXP,3135000000.0,8060000000.0,7514000000.0,8374000000.0,4925000000.0,-546000000.0,860000000.0
AXR,,7392000.0,15862000.0,21790000.0,,8470000.0,5928000.0
AXS,-120424000.0,618609000.0,223083000.0,376292000.0,739033000.0,-395526000.0,153209000.0
AXSM,-102900600.0,-130403000.0,-187134000.0,-239238000.0,-27502400.0,-56731000.0,-52104000.0
AXTA,121600000.0,263900000.0,191600000.0,267400000.0,142300000.0,-72300000.0,75800000.0
AXTI,3238000.0,14575000.0,15811000.0,-17881000.0,11337000.0,1236000.0,-33692000.0
AYI,248300000.0,306300000.0,384000000.0,346000000.0,58000000.0,77700000.0,-38000000.0
AYX,-24374000.0,-180000000.0,-319000000.0,-179000000.0,-155626000.0,-139000000.0,140000000.0
AZO,1732972000.0,2170314000.0,2429604000.0,2528426000.0,437342000.0,259290000.0,98822000.0
AZPN,229671000.0,319803000.0,,-107760000.0,90132000.0,,
AZZ,,39614000.0,84022000.0,-52974000.0,,44408000.0,-136996000.0
B,63375000.0,99873000.0,13479000.0,15996000.0,36498000.0,-86394000.0,2517000.0
BA,-11941000000.0,-4202000000.0,-4935000000.0,-2222000000.0,7739000000.0,-733000000.0,2713000000.0
BAC,17894000000.0,31978000000.0,27528000000.0,26515000000.0,14084000000.0,-4450000000.0,-1013000000.0
BAH,,608958000.0,466740000.0,271791000.0,,-142218000.0,-194949000.0
BANC,12574000.0,606959000.0,423613000.0,-1899137000.0,594385000.0,-183346000.0,-2322750000.0
BAND,-43977000.0,-27362000.0,19570000.0,-16343000.0,16615000.0,46932000.0,-35913000.0
BANF,99586000.0,167630000.0,193100000.0,212465000.0,68044000.0,25470000.0,19365000.0
BANR,115928000.0,201048000.0,195378000.0,183624000.0,85120000.0,-5670000.0,-11754000.0
BATRA,-78000000.0,-11000000.0,-34172000.0,-125294000.0,67000000.0,-23172000.0,-91122000.0
BATRK,-78000000.0,-11000000.0,-34172000.0,-125294000.0,67000000.0,-23172000.0,-91122000.0
BAX,1102000000.0,1284000000.0,-2433000000.0,2656000000.0,182000000.0,-3717000000.0,5089000000.0
BBCP,-61251000.0,-15073000.0,28676000.0,31790000.0,46178000.0,43749000.0,3114000.0
BBGI,-17765922.0,-1405845.0,-42057430.0,-75120138.0,16360077.0,-40651585.0,-33062708.0
BBSI,33765000.0,38079000.0,47268000.0,50612000.0,4314000.0,9189000.0,3344000.0
BBW,,-22983000.0,47265000.0,47985000.0,,70248000.0,720000.0
